diagnosis,count,teşhis,description,department
tracheitis,135,trakeit,"Solunum yollarının iltihaplanmasıdır. Genellikle öksürük, boğaz ağrısı ve nefes darlığı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
narcolepsy,134,narkolepsi,"Uykusuzluk ve aşırı uyku hali ile karakterize olan bir durumdur. Genellikle gündüz aşırı uyku hali, gece uykusuzluk ve uyku felci gibi belirtilerle kendini gösterebilir.",nöroloji
osteochondroma,133,osteokondrom,"Kemiklerin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
essential tremor,132,esansiyel tremor,"Vücutta istemsiz titreme ile karakterize olan bir durumdur. Genellikle ellerde, başta veya ses tellerinde meydana gelir ve stres, yorgunluk veya kafein ile artabilir.",nöroloji
pulmonary eosinophilia,132,pulmoner eozinofili,"Akciğerlerde eozinofil hücrelerinin anormal artışı ile karakterize olan bir durumdur. Genellikle öksürük, nefes darlığı ve ateş gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
polycystic kidney disease,130,polikistik böbrek hastalığı,"Böbreklerde kistlerin oluşması ile karakterize olan bir durumdur. Genellikle ağrı, idrar yapmada zorluk ve yüksek tansiyon gibi belirtilerle kendini gösterebilir.",üroloji
thoracic aortic aneurysm,128,torasik aort anevrizması,"Göğüs bölgesindeki aortun genişlemesi ile karakterize olan bir durumdur. Genellikle göğüs ağrısı, nefes darlığı ve yutma zorluğu gibi belirtilerle kendini gösterebilir.",dahiliye
gastroparesis,128,gastroparezi,"Midenin normalden farklı çalışması durumudur. Genellikle bulantı, kusma ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
lyme disease,126,lyme hastalığı,"Kene ısırığı ile bulaşan bir enfeksiyondur. Genellikle ateş, baş ağrısı ve ciltte döküntü gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
chronic rheumatic fever,126,kronik romatizmal ateş,"Kalp kapaklarının iltihaplanması ile karakterize olan bir durumdur. Genellikle ateş, eklem ağrısı ve kalp ritim bozuklukları gibi belirtilerle kendini gösterebilir.",dahiliye
sick sinus syndrome,126,sick sinus sendromu,"Kalpteki elektriksel aktivitenin anormal çalışması ile karakterize olan bir durumdur. Genellikle çarpıntı, baş dönmesi ve bayılma gibi belirtilerle kendini gösterebilir.",kardiyoloji
osteomyelitis,125,osteomiyelit,"Kemiklerin iltihaplanması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve ateş gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
injury of the ankle,122,ayak bileği yaralanması,"Ayak bileğinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
broken tooth,120,kırık diş,"Dişin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, hassasiyet ve şişlik gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
scabies,120,sarkoptoz,"Ciltte kaşıntı ve döküntü ile karakterize olan bir enfeksiyondur. Genellikle parazitlerin neden olduğu bir durumdur.",dermatoloji
chlamydia,120,klamidya,"Cinsel yolla bulaşan bir enfeksiyondur. Genellikle idrar yapmada zorluk, kaşıntı ve akıntı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
thoracic outlet syndrome,117,torasik çıkış sendromu,"Göğüs bölgesindeki sinirlerin ve damarların sıkışması ile karakterize olan bir durumdur. Genellikle omuz ağrısı, kol uyuşması ve baş dönmesi gibi belirtilerle kendini gösterebilir.",nöroloji
stomach cancer,117,mide kanseri,"Mide dokusunda meydana gelen, genellikle karın ağrısı, kilo kaybı ve sindirim sorunları gibi belirtilerle kendini gösterebilir.",gastroenteroloji
headache after lumbar puncture,116,belirli bir süre sonra baş ağrısı,"Belirli bir süre sonra meydana gelen baş ağrısıdır. Genellikle belden yapılan iğne sonrası ortaya çıkar ve baş ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterebilir.",nöroloji
fracture of the pelvis,116,pelvis kırığı,"Pelvisin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
head injury,115,baş yaralanması,"Başın normalden farklı çalışması sonucu meydana gelen, genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
intestinal malabsorption,115,bağırsak malabsorpsiyonu,"Bağırsakların besin maddelerini emme yeteneğinin azalması ile karakterize olan bir durumdur. Genellikle karın ağrısı, ishal ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
mastoiditis,114,mastoidit,"Kulak arkasındaki kemiklerin iltihaplanması ile karakterize olan bir durumdur. Genellikle kulak ağrısı, ateş ve baş ağrısı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
malignant hypertension,112,malign hipertansiyon,"Aşırı yüksek tansiyon durumudur. Genellikle baş ağrısı, görme bozuklukları ve nefes darlığı gibi belirtilerle kendini gösterebilir.",dahiliye
cellulitis or abscess of mouth,111,ağız apsesi,"Ağız bölgesindeki dokuların iltihaplanması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve ateş gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
psychosexual disorder,111,psiko-seksüel bozukluk,"Cinsel işlev bozuklukları ile karakterize olan bir durumdur. Genellikle cinsel isteksizlik, ereksiyon sorunları ve orgazm zorluğu gibi belirtilerle kendini gösterebilir.",psikiyatri
fracture of the shoulder,110,omuz kırığı,"Omuzun normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
hydrocephalus,109,hidrosefali,"Beyin omurilik sıvısının aşırı birikmesi ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulantı ve görme bozuklukları gibi belirtilerle kendini gösterebilir.",nöroloji
peripheral arterial embolism,107,periferik arter embolisi,"Periferik arterlerde kan pıhtısı oluşması ile karakterize olan bir durumdur. Genellikle bacaklarda ağrı, şişlik ve renk değişikliği gibi belirtilerle kendini gösterebilir.",dahiliye
vulvar disorder,107,vulvar hastalık,"Kadın genital bölgesinde meydana gelen, genellikle kaşıntı, yanma ve akıntı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
scoliosis,107,skolyoz,"Omurganın anormal eğriliği ile karakterize olan bir durumdur. Genellikle sırt ağrısı, duruş bozukluğu ve nefes darlığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
conjunctivitis due to bacteria,107,bakteriyel konjonktivit,"Gözün beyaz kısmının iltihaplanması ile karakterize olan bir durumdur. Genellikle gözde kızarıklık, sulanma ve kaşıntı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
soft tissue sarcoma,107,yumuşak doku sarkomu,"Yumuşak dokularda meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",onkoloji
systemic lupus erythematosis (sle),106,sistemik lupus eritematozus,"Bağışıklık sisteminin aşırı tepki vermesi ile karakterize olan bir durumdur. Genellikle cilt döküntüleri, eklem ağrısı ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
injury to internal organ,105,iç organ yaralanması,"İç organların normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",genel cerrahi
lumbago,104,bel ağrısı,"Bel bölgesinde meydana gelen, genellikle ağrı, hareket kısıtlılığı ve kas spazmı gibi belirtilerle kendini gösterebilir.",nöroloji
gonorrhea,103,bel soğukluğu,"Cinsel yolla bulaşan bir enfeksiyondur. Genellikle idrar yapmada zorluk, kaşıntı ve akıntı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
chronic knee pain,103,kronik diz ağrısı,"Diz bölgesinde meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
abdominal aortic aneurysm,101,abdominal aort anevrizması,"Karın bölgesindeki aortun genişlemesi ile karakterize olan bir durumdur. Genellikle karın ağrısı, sırt ağrısı ve nabızda değişiklik gibi belirtilerle kendini gösterebilir.",dahiliye
pericarditis,101,perikardit,"Kalp zarının iltihaplanması ile karakterize olan bir durumdur. Genellikle göğüs ağrısı, nefes darlığı ve ateş gibi belirtilerle kendini gösterebilir.",kardiyoloji
foreign body in the throat,100,yabancı cisim yutulması,"Yutakta meydana gelen yabancı cisimlerin neden olduğu, genellikle yutma zorluğu, ağrı ve boğulma hissi gibi belirtilerle kendini gösterebilir.",acil tıp
subarachnoid hemorrhage,100,subaraknoid kanama,"Beyin zarları arasındaki kan damarlarının hasar görmesi ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
panic attack,99,panik atak,"Ani ve yoğun korku veya kaygı hissi ile karakterize olan bir durumdur. Genellikle çarpıntı, terleme ve nefes darlığı gibi belirtilerle kendini gösterebilir.",psikiyatri
hidradenitis suppurativa,99,hidradenit supurativa,"Ciltte meydana gelen, genellikle ağrı, şişlik ve iltihaplı kitleler ile karakterize olan bir durumdur.",dermatoloji
myasthenia gravis,99,miyastenia gravis,"Kasların zayıflığı ile karakterize olan bir durumdur. Genellikle gözlerde düşüklük, yutma zorluğu ve kaslarda güçsüzlük gibi belirtilerle kendini gösterebilir.",nöroloji
myositis,98,miyozit,"Kasların iltihaplanması ile karakterize olan bir durumdur. Genellikle kas ağrısı, zayıflık ve şişlik gibi belirtilerle kendini gösterebilir.",nöroloji
down syndrome,97,down sendromu,"Genetik bir durumdur. Genellikle zihinsel gerilik, fiziksel özelliklerde değişiklikler ve kalp problemleri gibi belirtilerle kendini gösterebilir.",genetik hastalıklar
polymyalgia rheumatica,97,polimiyalji romatika,"Kas ve eklemlerde ağrı ile karakterize olan bir durumdur. Genellikle sabah sertliği, yorgunluk ve kilo kaybı gibi belirtilerle kendini gösterebilir.",romatoloji
cerebral palsy,97,serebral palsi,"Beyin hasarı sonucu meydana gelen, genellikle hareket bozuklukları, kas tonusu değişiklikleri ve denge sorunları ile karakterize olan bir durumdur.",nöroloji
peripheral arterial disease,97,periferik arter hastalığı,"Periferik arterlerde daralma veya tıkanma ile karakterize olan bir durumdur. Genellikle bacaklarda ağrı, şişlik ve renk değişikliği gibi belirtilerle kendini gösterebilir.",dahiliye
perirectal infection,97,perirektal enfeksiyon,"Rektum çevresindeki dokuların iltihaplanması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve ateş gibi belirtilerle kendini gösterebilir.",genel cerrahi
bladder cancer,96,mesane kanseri,"Mesane dokusunda meydana gelen, genellikle idrarda kanama, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
prostate cancer,96,prostat kanseri,"Prostat dokusunda meydana gelen, genellikle idrarda kanama, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
subdural hemorrhage,95,subdural kanama,"Beyin zarları arasındaki kan damarlarının hasar görmesi ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
celiac disease,95,çölyak hastalığı,"Bağırsakların gluten maddesine karşı aşırı tepki vermesi ile karakterize olan bir durumdur. Genellikle karın ağrısı, ishal ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
male genitalia infection,94,erkek genital bölgesi enfeksiyonu,"Erkek genital bölgesinde meydana gelen enfeksiyonlardır. Genellikle kaşıntı, yanma ve akıntı gibi belirtilerle kendini gösterebilir.",üroloji
foreign body in the gastrointestinal tract,90,yabancı cisim,"Sindirim sisteminde meydana gelen yabancı cisimlerin neden olduğu, genellikle karın ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterebilir.",gastroenteroloji
pulmonary fibrosis,88,pulmoner fibroz,"Akciğer dokusunun sertleşmesi ile karakterize olan bir durumdur. Genellikle nefes darlığı, öksürük ve yorgunluk gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
lactose intolerance,88,laktoz intoleransı,"Süt ve süt ürünlerindeki laktozun sindirilmemesi ile karakterize olan bir durumdur. Genellikle karın ağrısı, şişkinlik ve ishal gibi belirtilerle kendini gösterebilir.",gastroenteroloji
lymphoma,87,lenfoma,"Lenfatik sistemde meydana gelen, genellikle lenf bezlerinde şişlik, ateş ve kilo kaybı gibi belirtilerle kendini gösterebilir.",onkoloji
thrombocytopenia,87,trombositopeni,"Kan pıhtılaşmasını sağlayan trombositlerin sayısının azalması ile karakterize olan bir durumdur. Genellikle kanama, morarma ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
postoperative infection,85,postoperatif enfeksiyon,"Ameliyat sonrası meydana gelen enfeksiyonlardır. Genellikle ateş, ağrı ve şişlik gibi belirtilerle kendini gösterebilir.",genel cerrahi
poisoning due to sedatives,85,sedatif zehirlenmesi,"Sedatiflerin aş
rotator cuff injury,84,rotator manşet yaralanması,"Omuz bölgesindeki kasların ve tendonların yaralanması ile karakterize olan bir durumdur. Genellikle omuz ağrısı, hareket kısıtlılığı ve güçsüzlük gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
retinopathy due to high blood pressure,83,retinopati,"Yüksek tansiyonun gözdeki damarları etkilemesi ile karakterize olan bir durumdur. Genellikle görme kaybı, bulanık görme ve gözde kanama gibi belirtilerle kendini gösterebilir.",göz hastalıkları
osteochondrosis,82,osteokondroz,"Kemiklerin ve kıkırdakların anormal gelişimi ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
fracture of the hand,81,el kırığı,"Elin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
premenstrual tension syndrome,81,premenstrüel gerginlik sendromu,"Adet öncesi dönemde meydana gelen, genellikle ruh hali değişiklikleri, karın ağrısı ve baş ağrısı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
injury to the hand,79,el yaralanması,"Elin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
de quervain disease,78,de quervain hastalığı,"El bileğindeki tendonların iltihaplanması ile karakterize olan bir durumdur. Genellikle el bileği ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
intertrigo (skin condition),77,intertrigo,"Ciltte meydana gelen, genellikle kaşıntı, yanma ve kızarıklık ile karakterize olan bir durumdur.",dermatoloji
varicose veins,75,varis,"Bacaklardaki damarların genişlemesi ile karakterize olan bir durumdur. Genellikle bacaklarda ağrı, şişlik ve renk değişikliği gibi belirtilerle kendini gösterebilir.",dahiliye
hyperopia,74,hipermetropi,"Gözdeki odaklanma sorunları ile karakterize olan bir durumdur. Genellikle bulanık görme, baş ağrısı ve göz yorgunluğu gibi belirtilerle kendini gösterebilir.",göz hastalıkları
gynecomastia,74,jinekomasti,"Erkeklerde meme dokusunun anormal büyümesi ile karakterize olan bir durumdur. Genellikle meme hassasiyeti, ağrı ve şişlik gibi belirtilerle kendini gösterebilir.",üroloji
stenosis of the tear duct,73,gözyaşı kanalı darlığı,"Gözyaşı kanalının daralması ile karakterize olan bir durumdur. Genellikle gözde sulanma, kızarıklık ve enfeksiyon gibi belirtilerle kendini gösterebilir.",göz hastalıkları
idiopathic nonmenstrual bleeding,72,idiyopatik adet dışı kanama,"Sebebi bilinmeyen adet dışı kanama durumudur. Genellikle vajinal kanama, karın ağrısı ve yorgunluk gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
coronary atherosclerosis,70,koroner ateroskleroz,"Koroner arterlerde yağ birikimi ile karakterize olan bir durumdur. Genellikle göğüs ağrısı, nefes darlığı ve yorgunluk gibi belirtilerle kendini gösterebilir.",kardiyoloji
spina bifida,69,spina bifida,"Omuriliğin normalden farklı gelişimi ile karakterize olan bir durumdur. Genellikle bel bölgesinde açıklık, hareket bozuklukları ve idrar kaçırma gibi belirtilerle kendini gösterebilir.",nöroloji
fibroadenoma,69,fibroadenom,"Meme dokusunda meydana gelen, genellikle ağrı, şişlik ve hassasiyet gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
chickenpox,69,su çiçeği,"Varicella zoster virüsünün neden olduğu, genellikle kaşıntılı döküntüler, ateş ve halsizlik ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
coagulation (bleeding) disorder,69,koagülasyon bozukluğu,"Kan pıhtılaşma mekanizmasının bozulması ile karakterize olan bir durumdur. Genellikle kanama, morarma ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
dissociative disorder,68,dissosiyatif bozukluk,"Bireyin kimliğini, hafızasını veya bilinç durumunu kaybetmesi ile karakterize olan bir durumdur. Genellikle ruh hali değişiklikleri, unutkanlık ve kimlik karmaşası gibi belirtilerle kendini gösterebilir.",psikiyatri
open wound of the mouth,67,ağız yarası,"Ağız bölgesindeki dokuların yaralanması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve kanama gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
cervical cancer,67,rahim ağzı kanseri,"Rahim ağzında meydana gelen, genellikle vajinal kanama, ağrı ve cinsel ilişki sırasında ağrı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
atelectasis,66,atelektazi,"Akciğerlerin bir kısmının veya tamamının çökmesi ile karakterize olan bir durumdur. Genellikle nefes darlığı, öksürük ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
endometrial cancer,66,rahim kanseri,"Rahim dokusunda meydana gelen, genellikle vajinal kanama, ağrı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
scarlet fever,66,kızıl hastalığı,"Streptococcus bakterisinin neden olduğu, genellikle ateş, boğaz ağrısı ve döküntü ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
cerebral edema,65,serebral ödem,"Beyin dokusunda sıvı birikmesi ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
vocal cord polyp,65,ses tel polibi,"Ses tellerinde meydana gelen, genellikle ses kısıklığı, boğaz ağrısı ve yutma zorluğu gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
sjogren syndrome,64,sjögren sendromu,"Bağışıklık sisteminin aşırı tepki vermesi ile karakterize olan bir durumdur. Genellikle ağız kuruluğu, göz kuruluğu ve eklem ağrısı gibi belirtilerle kendini gösterebilir.",dahiliye
bone cancer,63,kemik kanseri,"Kemik dokusunda meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",onkoloji
dislocation of the elbow,62,dirsek çıkığı,"Dirseğin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
stricture of the esophagus,62,özofagus darlığı,"Özofagusun daralması ile karakterize olan bir durumdur. Genellikle yutma zorluğu, göğüs ağrısı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
pinworm infection,61,kıl kurdu enfeksiyonu,"Bağırsaklarda meydana gelen, genellikle kaşıntı, karın ağrısı ve uyku bozuklukları ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
extrapyramidal effect of drugs,61, ekstrapiramidal etkiler,"İlaçların neden olduğu, genellikle kas sertliği, titreme ve hareket bozuklukları ile karakterize olan bir durumdur.",nöroloji
carbon monoxide poisoning,60,karbonmonoksit zehirlenmesi,"Karbon
menopause,60,menopoz,"Kadınların adet döngüsünün sona ermesi ile karakterize olan bir durumdur. Genellikle sıcak basması, ruh hali değişiklikleri ve uyku bozuklukları gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
achalasia,60,akalazya,"Özofagusun alt kısmının normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle yutma zorluğu, göğüs ağrısı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
kidney cancer,60,böbrek kanseri,"Böbrek dokusunda meydana gelen, genellikle idrarda kanama, ağrı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",üroloji
encephalitis,59,ensefalit,"Beyin iltihabı ile karakterize olan bir durumdur. Genellikle baş ağrısı, ateş ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
poisoning due to antimicrobial drugs,58,antimikrobiyal zehirlenmesi,"Antimikrobiyal ilaçların aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle bulantı, kusma ve karın ağrısı gibi belirtilerle kendini gösterebilir.",nöroloji
knee ligament or meniscus tear,57,diz bağ veya menisküs yırtığı,"Diz bölgesindeki bağların veya menisküsün yaralanması ile karakterize olan bir durumdur. Genellikle diz ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
goiter,56,guatr,"Tiroid bezinin normalden fazla büyümesi ile karakterize olan bir durumdur. Genellikle boyunda şişlik, yutma zorluğu ve nefes darlığı gibi belirtilerle kendini gösterebilir.",endokrinoloji
fracture of the patella,56,diz kapağı kırığı,"Diz kapağının normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
hypernatremia,56,hipernatremi,"Kanda sodyum seviyesinin normalden yüksek olması ile karakterize olan bir durumdur. Genellikle susuzluk, baş ağrısı ve kas krampları gibi belirtilerle kendini gösterebilir.",dahiliye
endocarditis,56,endokardit,"Kalp kapakçıklarının iltihaplanması ile karakterize olan bir durumdur. Genellikle ateş, yorgunluk ve kalp seslerinde değişiklik gibi belirtilerle kendini gösterebilir.",kardiyoloji
testicular torsion,55,testis torsiyonu,"Testislerin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve bulantı gibi belirtilerle kendini gösterebilir.",üroloji
salivary gland disorder,55,tükürük bezi hastalığı,"Tükürük bezlerinin normalden farklı çalışması sonucu meydana gelen, genellikle ağız kuruluğu, şişlik ve ağrı gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
epilepsy,55,epilepsi,"Beyin elektriksel aktivitesinin anormal olması ile karakterize olan bir durumdur. Genellikle nöbetler, bilinç kaybı ve kas spazmları gibi belirtilerle kendini gösterebilir.",nöroloji
trigger finger (finger disorder),54,tetik parmak,"Parmakların hareket etmesinde zorluk ile karakterize olan bir durumdur. Genellikle parmakta ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
aplastic anemia,54,aplazik anemi,"Kemik iliğinin yeterli kan hücresi üretmemesi ile karakterize olan bir durumdur. Genellikle yorgunluk, solukluk ve kanama gibi belirtilerle kendini gösterebilir.",dahiliye
tic (movement) disorder,54,tik bozukluğu,"Kas hareketlerinin anormal olması ile karakterize olan bir durumdur. Genellikle istemsiz hareketler, kas spazmları ve rahatsızlık hissi gibi belirtilerle kendini gösterebilir.",nöroloji
atrial fibrillation,54,atriyal fibrilasyon,"Kalp atışlarının düzensiz olması ile karakterize olan bir durumdur. Genellikle çarpıntı, nefes darlığı ve yorgunluk gibi belirtilerle kendini gösterebilir.",kardiyoloji
parasitic disease,54,paraziter hastalık,"Parazitlerin neden olduğu enfeksiyonlardır. Genellikle karın ağrısı, ishal ve kilo kaybı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
chorioretinitis,54,koryoretinit,"Gözün arka kısmındaki iltihaplanma ile karakterize olan bir durumdur. Genellikle görme kaybı, bulanık görme ve gözde ağrı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
toxic multinodular goiter,53,toksi multinodüler guatr,"Tiroid bez
autonomic nervous system disorder,53,otonom sinir sistemi hastalığı,"Otonom sinir sisteminin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle kalp atışlarında değişiklik, terleme ve sindirim sorunları gibi belirtilerle kendini gösterebilir.",nöroloji
fracture of the jaw,53,çene kırığı,"Çenenin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
testicular disorder,53,testis hastalığı,"Testislerin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve cinsel işlev bozukluğu gibi belirtilerle kendini gösterebilir.",üroloji
esophageal cancer,53,özofagus kanseri,"Özofagus dokusunda meydana gelen, genellikle yutma zorluğu, göğüs ağrısı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
vitamin b12 deficiency,52,b12 vitamini eksikliği,"B12 vitamininin vücutta yeterli düzeyde bulunmaması ile karakterize olan bir durumdur. Genellikle yorgunluk, halsizlik ve sinir sistemi sorunları gibi belirtilerle kendini gösterebilir.",dahiliye
crushing injury,51,ezilme yarası,"Vücudun bir bölgesinin aşırı basınca maruz kalması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",acil tıp
protein deficiency,51,protein eksikliği,"Vücutta yeterli protein bulunmaması ile karakterize olan bir durumdur. Genellikle yorgunluk, kas zayıflığı ve bağışıklık sistemi sorunları gibi belirtilerle kendini gösterebilir.",dahiliye
central retinal artery or vein occlusion,51,merkezi retinal arter veya ven tıkanıklığı,"Gözdeki ana damarların tıkanması ile karakterize olan bir durumdur. Genellikle görme kaybı, bulanık görme ve gözde ağrı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
vaginismus,51,vajinismus,"Vajinal kasların istemsiz kasılması ile karakterize olan bir durumdur. Genellikle cinsel ilişki sırasında ağrı ve rahatsızlık hissi gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
dyshidrosis,50,disidroz,"Ciltte meydana gelen, genellikle kaşıntı, yanma ve kabarcıklar ile karakterize olan bir durumdur.",dermatoloji
septic arthritis,50,septik artrit,"Eklem iltihabı ile karakterize olan bir durumdur. Genellikle eklemde ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",romatoloji
lewy body dementia,50,lewy vücut demansı,"Beyin hücrelerinde anormal protein birikimi ile karakterize olan bir durumdur. Genellikle hafıza kaybı, hareket bozuklukları ve ruh hali değişiklikleri gibi belirtilerle kendini gösterebilir.",nöroloji
adhesive capsulitis of the shoulder,49,yapışkan kapsülit,"Omuz ekleminin iltihaplanması ile karakterize olan bir durumdur. Genellikle omuz ağrısı, hareket kısıtlılığı ve sertlik gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
somatization disorder,48,somatizasyon bozukluğu,"Fiziksel belirtilerin psikolojik nedenlerle ortaya çıkması ile karakterize olan bir durumdur. Genellikle ağrı, yorgunluk ve ruh hali değişiklikleri gibi belirtilerle kendini gösterebilir.",psikiyatri
fracture of the skull,48,kafatası kırığı,"Kafatasının normalden farklı çalışması sonucu meydana gelen, genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
ascending cholangitis,48,kolanjit,"Safra yollarının iltihaplanması ile karakterize olan bir durumdur. Genellikle karın ağrısı, ateş ve sarılık gibi belirtilerle kendini gösterebilir.",gastroenteroloji
phimosis,47,fimozis,"Penis başının normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve cinsel işlev bozukluğu gibi belirtilerle kendini gösterebilir.",üroloji
